职位名称,地区,薪水,工作年限,学历,能力要求,公司名字,公司标签,福利待遇,详情链接
web 前端工程师,深圳·龙华区·民治,8-11K,1-3年,本科,",JavaScript,CSS,Vue,小程序",互真创,",计算机软件,0-20人",
软件测试工程师,深圳·龙华区·观澜,15-20K·16薪,3-5年,本科,",测试,测试工程师,软件测试,自动化测试,性能测试,接口测试,白盒测试,安全测试",三一集团,",其他行业,已上市,10000人以上",节日福利，年终奖，免费班车，带薪年假，股票期权，餐补，五险一金
软件测试工程师,深圳·南山区·科技园,11-22K,3-5年,本科,",测试工程师,LoadRunner,TestNG,Appium,Python",威富通,",移动互联网,已上市,500-999人",定期体检，年终奖，带薪年假，节日福利，五险一金，补充医疗保险
软件测试工程师,深圳·宝安区·新安,8-12K,1-3年,大专,",测试,测试工程师,功能测试",派宝智能,",智能硬件,20-99人",
软件测试工程师,深圳·宝安区·西乡,13-23K,3-5年,学历不限,",测试工程师,自动化测试,性能测试,功能测试,游戏测试",迅特,",电子商务,0-20人",
软件测试工程师,深圳·南山区·科技园,25-50K·17薪,经验不限,本科,",测试工程师,自动化测试,性能测试,系统测试,测试开发,Python,Java",腾讯,",互联网,不需要融资,10000人以上",零食下午茶，节日福利，住房补贴，有无线网，意外险，包吃，免费早晚餐，免费班车，绩效奖金，股票期权，补充医疗保险，交通补助，年终奖，免费健身房，定期体检，五险一金，公仔周边活动，员工旅游，餐补，带薪年假
软件测试工程师,深圳·福田区·梅林,20-30K,经验不限,本科,",软件测试,自动化测试,性能测试,功能测试,Python,Java",荣耀终端有限公司,",消费电子,不需要融资,10000人以上",节日福利，补充医疗保险，年终奖，定期体检，带薪年假，零食下午茶，股票期权，加班补助，五险一金，免费班车，通讯补贴
软件测试工程师,深圳·福田区·新洲,10-15K,3-5年,大专,",功能测试,性能测试,自动化测试,Python,MySQL,测试工作经验,自动化测试经验,掌握软件测试理论和流程",警安保,",互联网,500-999人",零食下午茶，包吃，节日福利，定期体检，五险一金
软件测试工程师,深圳·南山区·科技园,12-24K,5-10年,本科,",Jmeter,Selenium,自动化测试,测试工程师,性能测试,接口测试,压力测试",顺丰科技,",互联网,不需要融资,1000-9999人",免费班车，零食下午茶，定期体检，节日福利，餐补，交通补助，五险一金，年终奖，带薪年假，通讯补贴，加班补助，包吃，员工旅游，股票期权
软件测试工程师,深圳·龙岗区·华为坂田基地,15-30K,1-3年,本科,",测试,测试工程师,软件测试,云计算,性能测试",华为技术有限公司,",计算机软件,不需要融资,10000人以上",交通补助，员工旅游，股票期权，离职补偿，年终奖，免费班车，加班补助，定期体检，节日福利，全勤奖，通讯补贴，零食下午茶，住房补贴，补充医疗保险，五险一金，餐补，带薪年假
软件测试工程师,深圳·南山区·前海,12-20K,5-10年,本科,",测试工程师,性能测试,接口测试,MySQL,自动化测试,Python,SaaS,小程序测试",配配车,",互联网,A轮,20-99人",五险一金，带薪年假，年终奖，员工旅游，节日福利，加班补助，零食下午茶
